Number,Date,City,Type of Land,Block,Land ID,Area ( m2),Price ( kd),Lat / Long,1- Street ( Y / N),  Back and Front Streets? (0/1),Corner (0/1),Island (0/1),Alley (0/1),Next to Electricity Generator (0/1),Next to a yard (0/1),width,length,Front Yard Area (m2),back Yard Area (m2),Right Yard,Left Yard,Sea Side,Built (0/1),No. Floors,Basement (0/1),Year Built,Restoration Date,ruinous,Rented,Number Of Unit,Income,Additional information
296,2018/05/09,Abu Ftaira,Residential,2,82,400,211000,"29.198001,48.095042",1,0,0,0,0,0,0,16,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
297,2018/05/09,Abu Ftaira,Residential,2,84,400,211000,"29.197978,48.094865",1,0,0,0,0,0,0,16,25,5,0,0,0,0,0,0,0,,,,,,,
298,2018/06/10,Fnaitees,Residential,5,115,400,530000,"29.220473, 48.091215",1,0,0,0,1,0,1,16,25,4,26,0,0,0,0,0,0,0,,,,,,
299,2018/06/20,AL-Masayel,Residential,1,146,500,380000,"29.244626,48.087172",0,0,1,0,0,1,1,20,25,4,4,4,0,0,0,0,0,0,,,,,,
300,2018/07/31,AL-Masayel,Residential,1,31,500,410000,48.083493 ، 29.242354,0,0,0,1,0,1,1,20,25,4,40,60,0,0,0,0,0,0,0,0,0,0,,
301,2018/07/20,Sabah Al Ahmed Al Bahreya,Residential,A3,3549,510,177000,"28.679315,48.334645",0,1,0,0,0,0,0,F/19.37-B/16,25,5,37,0,0,1,0,0,0,0,0,0,0,0,,
302,2018/08/06,AL-Masayel,Residential,1,96,500,400000,"29.243955,48.085658",0,1,0,0,0,0,0,20,25,4,20,0,0,0,0,0,0,0,0,0,0,0,,
303,2018/07/24,Sabah Al Ahmed Al Bahreya,Residential,A4,1429,495,180000,"28.643532,48.322005",0,1,0,0,0,0,0,F/18-B/15,30,9,11,0,0,1,0,0,0,0,0,0,,0,,
304,2018/07/16,AL-Masayel,Residential,1,112,500,330000,"29.245703,48.085400",1,0,0,0,0,0,1,20,25,4,0,20,0,0,0,0,0,0,0,0,0,0,,
305,2018/07/16,AL-Masayel,Residential,5,19,400,240000,"29.240328,48.083933",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
306,2018/07/16,AL-Masayel,Residential,5,17,400,240000,"29.240458,48.083866",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,,,,,
307,2018/09/06,mangaf,Residential,3,51ك,400,310000,"29.110183, 48.124760",1,0,0,0,1,0,0,16,25,6,0,0,0,0,0,0,0,0,0,0,0,0,,
308,2018/09/20,Fnaitees,Residential,1,367,400,235000,"29.228321,48.095672",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,,,,,,
309,2018/09/19,AL-Masayel,Residential,1,61,500,300000,"29.244732, 48.084393",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,,,,
310,2018/10/02,Al-Fintas,investment lands,,66,207,170000,,,,,,,,,,,,,,,,,,,,,,,,,
311,2018/09/24,AL-Masayel,Residential,1,137,500,280000,"29.245178, 48.086706",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,,,,
312,2018/10/07,Rumaithiya,Residential,1,319,"487,5",335000,"29.310367, 48.063548",0,0,1,0,0,0,0,20,16,4,0,0,7,0,0,0,0,0,0,0,,,,
313,2018/09/24,Sabah Al Ahmed Al Bahreya,Residential,A2,721,641,115000,"28.684337, 48.366121",1,0,0,0,0,0,0,18,35.61,4,0,0,0,0,0,0,0,0,0,0,,,,
314,2018/10/08,Fnaitees,Residential,1,367,400,248000,"29.228331, 48.095580",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,,,,
315,2018/10/04,Dasma,Residential,5,36,500,410000,"29.362316, 48.001894",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,,,,
316,2018/10/08,Fnaitees,Residential,4,419,375,280000,"29.220879, 48.094526",0,1,0,0,0,0,0,15,25,5,6,0,0,0,0,0,0,0,0,0,,,,
317,2018/11/01,Sabah Al Ahmed Al Bahreya,Residential,A1,1128,536.5,95000,"28.657054, 48.373365",1,0,0,0,0,0,0,16,33.54,9,0,0,0,0,0,0,0,0,0,0,,,,
318,2018/10/01,Salmiya,investment lands,155,92,2050,3630000,,0,1,0,0,1,0,0,50,41,8,4,0,8,0,0,0,0,0,0,0,0,0,,
319,,Fnaitees,Residential,3,120-121-122,1500,1065000,"29.221937, 48.098266",0,1,0,0,0,0,0,15,25,10,4,0,0,0,0,0,0,0,0,0,0,0,,
320,2018/11/25,Mishrif,Residential,5,670,400,370000,"29.274060, 48.079601",1,0,0,0,0,0,0,25,16,4,0,0,0,0,0,0,0,0,0,0,0,0,,
321,2018/11/26,AL-Masayel,Residential,1,396,375,245000,"29.243068, 48.084485",1,0,0,0,0,0,0,15,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
322,2018/12/11,Rumaithiya,Residential,5,89,1000,590000,"29.309940, 48.082486",1,0,0,0,1,0,0,25,40,5,5,5,0,0,0,0,0,0,0,0,0,0,,
323,2018/12/27,Abu Ftaira,Residential,5,371,400,245000,"29.197057, 48.104297",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
324,2019/01/08,Shuwaikh Industrial,Industrial,2,23,1000,790000,"29.319851, 47.948026 ",1,0,0,0,0,0,0,25,40,4,0,0,0,0,0,0,0,0,0,0,0,0,,
325,20219/01/23,AL-Masayel,Residential,1,371,400,255000,"29.246078, 48.086121",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
326,2019/01/23,Fnaitees,Residential,1,287,400,250000,"29.230698, 48.095614 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
327,2019/01/23,Fnaitees,Residential,1,23,500,280000,"29.230703, 48.093623 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
328,2019/01/20,Sabah Al Ahmed Al Bahreya,Residential,A4,1224,450,160000,"28.643898, 48.330278 ",0,0,0,0,0,0,0,38.88,20.37,6,20,0,0,1,0,0,0,0,0,0,0,0,,
329,2019/02/14,Salmiya,investment lands,3,119,1168,3400000,"29.337704, 48.048681 ",0,1,0,0,0,0,0,35,34,8,8,0,0,0,0,0,0,0,0,0,0,0,,
330,2019/02/19,Fnaitees,Residential,1,287,400,255000,"29.230698, 48.095614 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
331,2019/02/20,Abu Ftaira,Residential,4,73,500,265000,"29.206104, 48.101809 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
332,2019/02/19,Nuzha,Residential,3,27,1000,1350000,"29.338493, 47.987494 ",0,1,0,0,0,0,0,25,40,4,16,0,0,0,1,0,0,0,0,0,0,0,,
333,2019/02/19,Fnaitees,Residential,3,593,375,289000,"29.221874, 48.098250 ",0,1,0,0,0,0,0,15,25,10,4,0,0,0,1,0,0,0,0,0,0,0,,
334,2019/02/20,Fnaitees,Residential,3,592,375,289000,"29.221834, 48.098087 ",0,1,0,0,0,0,0,15,25,10,4,0,0,0,1,0,0,0,0,0,0,0,,
335,2019/02/21,Rumaithiya,Residential,3,292,375,600000,"29.312422, 48.070037 ",1,0,0,0,0,0,1,15,25,4,0,0,0,0,0,1,1,0,0,0,0,15,,
336,2019/02/27,Fnaitees,Residential,3,595,375,289000,"29.221930, 48.098526 ",0,1,0,0,0,0,0,15,25,10,4,0,0,0,1,0,0,0,0,0,0,0,,
337,2019/03/12,AL-Masayel,Residential,2,463,375,245000,"29.240440, 48.087973 ",1,0,0,0,0,0,0,15,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
338,2019/04/02,Abu Ftaira,Residential,2,606,400,240000,"29.194606, 48.098448 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
339,2019/04/06,Fnaitees,Residential,3,594,375,289000,"29.221894, 48.098401 ",0,1,0,0,0,0,0,15,25,10,4,0,0,0,1,0,0,0,0,0,0,0,,
340,2019/04/10,AL-SIDDIQ,Residential,6,55,500,390000,"29.286742, 47.995774 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
341,2019/04/11,Sabah Al Ahmed Al Bahreya,Residential,A2,168,1344,228480,"28.674659, 48.373263 ",0,1,0,0,0,0,0,F/19- B-38,97,30,13,0,0,1,0,0,0,0,0,0,0,0,,
342,2019/04/14,YARMOUK,Residential,1,391,497.5,650000,"29.317085, 47.970965 ",0,0,1,0,0,0,0,20.9,20,4,4,0,0,0,0,0,0,0,0,0,0,0,,
343,2019/04/15,DAIYA,Residential,4,230,500,405000,"29.356781, 48.017772 ",1,0,0,0,0,0,0,20,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,
344,2019/04/15,QADSIYA,Residential,9,2,500,495000,"29.351404, 48.009545 ",1,0,0,0,0,0,0,20,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,
345,2019/04/16,Fnaitees,Residential,1,463,400,260000,"29.231268, 48.093637 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
346,2019/04/22,Fnaitees,Residential,6,260,400,240000,"29.215376, 48.096727 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
347,2019/04/24,ARDHIYA HERAFIYA,industrial land,2,79,1000,1275000,"29.289734, 47.919342 ",1,0,0,0,0,0,0,20,50,10,0,0,0,0,1,0,0,0,0,0,0,0,,
348,2019/04/28,AL-SIDDIQ,Residential,6,55,500,420000,"29.286742, 47.995774 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
349,2019/04/30,al-ardiya6,industrial land,2,78,1000,1250000,"29.289721, 47.919560 ",1,0,0,0,0,0,0,20,50,10,0,0,0,0,1,0,0,0,0,0,0,0,,
350,2019/05/12,OMARIYA,Residential,4,113,600,380000,"29.292266, 47.950711 ",0,0,1,0,0,0,0,20,30,5,0,15,0,0,0,0,0,0,0,0,0,0,,
351,2019/05/13,Sabah Al -Salem,investment lands,2,103,233,148000,"29.248187, 48.083463 ",1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
352,2019/05/14,Dasma,Residential,4,35 أ,376,410000,"29.366946, 48.006091 ",1,0,0,0,0,0,0,14.92,25.2,17,0,0,0,0,0,0,0,0,0,0,0,7,,
353,2019/05/20,Fnaitees,Residential,1,284,400,255000,"29.230589, 48.095978 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
354,2019/05/20,Fnaitees,Residential,1,463,400,279000,"29.231257, 48.093626 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
355,2019/06/02,DAIYA,Residential,4,230,500,425000,"29.356781, 48.017772 ",1,0,0,0,0,0,0,20,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,
356,2019/06/18,AL-Masayel,Residential,5,328,400,275000,"29.229399, 48.086914 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
357,2019/07/05,DAIYA,Residential,4,231,500,440000,"29.356976, 48.017851 ",1,0,0,0,0,0,0,20,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,
358,2019/07/08,RAI,industrial land,1,1674,1000,900000,"29.305026, 47.933705 ",1,0,0,0,0,0,0,25,40,7,0,0,0,0,0,0,0,0,0,0,0,0,,
359,2019/07/14,Dasma,Residential,4,35 أ,376,440000,"29.366946, 48.006091 ",1,0,0,0,0,0,0,14.92,25.2,17,0,0,0,0,0,0,0,0,0,0,0,7,,
360,2019/07/17,OMARIYA,Residential,4,113,600,410000,"29.292266, 47.950711 ",0,0,1,0,0,0,0,20,30,5,0,15,0,0,0,0,0,0,0,0,0,0,,
361,2019/07/17,SALWA,Residential,10,449,464,380000,"29.284187, 48.077398 ",0,0,1,0,0,0,0,18.55,25,4,0,4,0,0,1,3,0,0,0,0,0,106,,
362,2019/07/25,AL-Masayel,Residential,1,114,500,430000,"29.246069, 48.085682 ",0,0,1,0,0,0,1,20,25,5,0,7,0,0,0,0,0,0,0,0,0,0,,
363,2019/08/05,RAI,industrial land,1,1380,1000,940000,"29.312217, 47.935348 ",1,0,0,0,0,0,0,25,40,5,0,0,0,0,0,0,0,0,0,0,0,0,,
364,2019/08/29,BAYAN,Residential,4,34,750,420000,"29.307276, 48.055978 ",1,0,0,0,0,0,0,20,37.5,3,0,0,0,0,1,0,0,0,0,0,0,49,,
365,2019/08/29,Fnaitees,Residential,4,418,375,320000,"29.220861, 48.094304 ",0,1,0,0,0,0,0,15,25,4,4,0,0,0,0,0,0,0,0,0,0,0,,
366,2019/09/23,Abu Ftaira,Residential,7,197,400,250000,"29.189041, 48.101640 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
367,2019/09/28,HITTEEN,Residential,4,112,500,515000,"29.280663, 48.015240 ",1,0,0,0,1,0,0,20,25,4,0,0,4,0,1,3,0,0,0,0,0,92,,
368,2019/10/07,AL-Masayel,Residential,2,244,500,330000,"29.244157, 48.089416 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
369,2019/10/23,Sabah Al Ahmed Al Bahreya,Residential,A3,3881,533,210000,"28.672645, 48.328120 ",0,1,0,0,0,0,0,16.33,30,7,13,0,0,0,0,0,0,0,0,0,0,0,,
370,2019/10/26,SALAM,Residential,3,236,500,650000,"29.295189, 48.018322 ",0,0,1,0,0,0,0,20,25,10,0,0,3,0,0,0,0,0,0,0,0,0,,
371,2019/10/27,Fnaitees,Residential,2,37,400,335000,"29.225611, 48.088791 ",0,1,0,0,0,0,0,16,25,4,4,0,0,0,0,0,0,0,0,0,0,0,,
372,2019/10/30,Shaab,Residential,3,75,1000,1050000,"29.350009, 48.024201 ",1,0,0,0,1,0,0,40,25,4,0,0,10,0,1,2,0,0,0,0,0,2,,
373,2019/11/03,SURRA,Residential,2,113 أ,750,525000,"29.313432, 48.012863 ",1,0,0,0,0,0,0,25,30,4,0,0,0,0,0,2,0,0,0,0,0,8,,
374,2019/11/03,BNAID AL-QAR,investment lands,1,197,1050,1650000,"29.373704, 48.004476 ",1,0,0,0,0,0,0,25.25,42,10,0,0,0,0,0,0,0,0,0,0,0,0,,
375,2019/11/04,Abu Ftaira,Residential,3,170,500,290000,"29.206091, 48.103703 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
376,2019/11/14,HITTEEN,Residential,4,112,500,550000,"29.280663, 48.015240 ",1,0,0,0,1,0,0,20,25,4,0,0,4,0,1,3,0,0,0,0,0,92,,
377,2019/11/18,MANSouriya,Residential,2,41,1000,950000,"29.355762, 47.992951 ",0,1,0,0,0,0,0,25,40,5,5,0,0,0,1,2,0,0,0,0,0,30,,
378,2019/11/27,AL-SIDDIQ,Residential,3,384,400,580000,"29.297328, 48.001262 ",1,0,0,0,0,0,1,16,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
379,2019/11/28,BAYAN,Residential,7,83,500,410000,"29.297909, 48.060863 ",1,0,0,0,0,0,0,20,25,5,0,0,0,0,1,2,0,0,0,0,0,7,,
380,2019/12/02,Hawalli,investment lands,9,36,752,1125000,"29.328157, 48.021308 ",1,0,0,0,0,0,0,25.5,21.11,5,0,0,0,0,1,5,0,0,0,0,1,0,,
381,2019/12/15,Sabah Al -Salem,investment lands,1,44-46,1000+1000,3000000,"29.266770, 48.081815 ",1,0,0,0,0,0,0,25,40,5,0,0,0,0,0,0,0,0,0,0,0,0,,
382,2019/12/15,SHUHADA,Residential,1,105,500,650000,"29.275524, 48.027602 ",0,0,1,0,0,0,0,20,25,4,0,7,0,0,0,0,0,0,0,0,0,0,,
383,2019/12/26,Shaab,Residential,1,8 غ,400,395000,"29.346474, 48.029996 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
384,2019/12/17,Rumaithiya,Residential,10,21,1000,540000,"29.320832, 48.064174 ",1,0,0,0,0,0,0,25,40,4,0,0,0,0,1,2,0,0,0,0,0,13,,
385,2020/01/07,Nuzha,Residential,3,169,750,1100000,"29.336742, 47.988630 ",0,0,1,0,0,0,0,25,30,4,0,7,0,0,1,2,0,0,0,0,0,8,,
386,2020/01/07,MUBARAK AL-KABEER,Residential,4,299,400,273000,"29.189515, 48.072168 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,1,3,0,0,0,0,0,4,,
387,2020/01/16,Mishrif,Residential,5,669,400,600000,"29.274247, 48.079608 ",0,0,1,0,0,0,0,25,16,2,0,10,0,0,0,0,0,0,0,0,0,0,,
388,2020/02/02,BNAID AL-QAR,investment lands,1,,147,168000,,,,,,,,,,,,,,,,,,,,,,,,,
389,2020/02/04,AL-SIDDIQ,Residential,3,331,375,750000,"29.295419, 48.000046 ",1,0,0,0,0,0,0,15,25,10,0,0,0,0,1,3,0,0,0,0,1,39,,
390,2020/02/06,KHIRAN CITY,Residential,3,25,400,95000,"28.656180, 48.275477 ",0,0,0,1,0,0,0,16,25,4,7,7,0,0,0,0,0,0,0,0,0,0,,
391,2020/02/13,SUBHAN INDUSTRIAL,industrial land,2,114-116-118-120-122,5000,2200000,"29.230456, 48.008180 ",1,0,0,0,0,0,0,100,50,4,0,0,0,0,1,2,0,0,0,0,0,0,,
392,2020/02/13,Shaab,Residential,3,144,500,630000,"29.349966, 48.024233 ",1,0,0,0,1,0,0,20,25,4,0,0,7,0,0,0,0,0,0,0,0,0,,
393,2020/02/15,JABER AL-AHMED,Residential,6,1107,400,300000,"29.352818, 47.762946 ",0,0,0,1,0,0,0,20,20,4,4,0,7,0,1,3,0,0,0,0,0,32,,
394,2020/02/18,Sabah Al Ahmed Al Bahreya,Residential,4,2686,450,166000,"28.641242, 48.355917 ",0,1,0,0,0,0,0,15.25,29.5,11,18,0,0,1,0,0,0,0,0,0,0,0,,
395,2020/02/19,Mansouriya,Residential,1,154,750,900000,"29.359318, 47.989845 ",0,0,1,0,0,0,0,25,30,7,0,4,0,0,1,3,0,0,0,0,0,7,,
396,2020/02/20,Rumaithiya,Residential,4,78,400,315000,"29.312105, 48.079738 ",1,0,0,0,0,0,0,20,20,3,0,0,0,0,1,3,0,0,0,0,0,34,,
397,2020/03/02,Abu Ftaira,Residential,1,279,400,350000,"29.208058, 48.097425 ",0,0,1,0,0,0,0,16,25,7,0,0,4,0,0,0,0,0,0,0,0,0,,
398,2020/03/03,Abu Ftaira,Residential,3,552,400,315000,"29.210934, 48.100414 ",1,0,0,0,1,1,0,16,25,4,0,7,0,0,0,0,0,0,0,0,0,0,,
399,2020/03/08,Shaab,Residential,3,143,500,550000,"29.350083, 48.024381 ",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
400,2020/06/15,Sabah Al Ahmed Al Bahreya,Residential,A4,1155,450,166500,"28.642431, 48.333163 ",0,1,0,0,0,0,0,15,30,5,14,0,0,1,0,0,0,0,0,0,0,0,,
401,2020/06/15,Sabah Al Ahmed Al Bahreya,Residential,A4,2311,450,163000,"28.630477, 48.334202 ",0,1,0,0,0,0,0,15,30,7,14,0,0,1,0,0,0,0,0,0,0,0,,
402,2020/06/22,Sabah Al Ahmed Al Bahreya,Residential,A4,2963,464,165000,"28.636724, 48.347319 ",0,1,0,0,0,0,0,13.75,32.5,7,17,0,0,1,0,0,0,0,0,0,0,0,,
403,2020/06/22,Sabah Al Ahmed Al Bahreya,Residential,A4,2393,450,165000,"28.625381, 48.336539 ",0,1,0,0,0,0,0,15,30,7,14,0,0,1,0,0,0,0,0,0,0,0,,
404,2020/06/29,Sabah Al Ahmed Al Bahreya,Residential,A2,165,1588,250000,"28.674834, 48.372476 ",0,1,0,0,0,0,0,B/17-F/25.09,R/101-L/103,7,11,0,0,1,0,0,0,0,0,0,0,0,,
405,,Sabah Al Ahmed Al Bahreya,Residential,A4,2255,450,176000,"28.633711, 48.337646 ",0,1,0,0,0,0,0,15,30,7,11,0,0,1,0,0,0,0,0,0,0,0,,
406,2020/06/10,Sabah Al Ahmed Al Bahreya,Residential,A2,169,1218,217500,"28.674616, 48.373403 ",0,1,0,0,0,0,0,b/20.24-f/15,r/62.80-l/69.14,10,12,0,0,1,0,0,0,0,0,0,0,0,,
407,2020/06/10,Sabah Al Ahmed Al Bahreya,Residential,A2,170,1222,217500,"28.674477, 48.373579 ",0,1,0,0,0,0,0,f/15-b/20.08,r/60-l/61.47,10,12,0,0,1,0,0,0,0,0,0,0,0,,
408,2020/07/01,Sabah Al Ahmed Al Bahreya,Residential,A4,1689,534,205000,"28.652352, 48.346702 ",0,1,0,0,0,0,0,17.8,30,9,14,0,0,1,0,0,0,0,0,0,0,0,,
409,2020/07/01,AL-Masayel,Residential,1,304,500,350000,"29.243905, 48.091092 ",1,0,0,0,0,0,0,20,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
410,2020/07/02,KHIRAN CITY,Residential,2,575,1210,225000,"28.665269, 48.284670 ",1,0,0,0,0,0,0,24,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
411,2020/07/05,Fnaitees,Residential,6,336,400,294000,"29.220501, 48.096537 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
412,2020/07/05,Abu Ftaira,Residential,4,498,400,350000,"29.206552, 48.102068 ",0,0,1,0,0,0,0,16,25,4,0,7,0,0,0,0,0,0,0,0,0,0,,
413,2020/07/05,Sabah Al Ahmed Al Bahreya,Residential,4,2756,500,175000,"28.636401, 48.354548 ",0,1,0,0,0,0,0,15.02,33.27,7,14,0,0,0,0,0,0,0,0,0,0,0,,
414,2020/07/05,RAWDA,Residential,4,198,750,725000,"29.333685, 48.001003 ",1,0,0,0,0,0,0,25,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,
415,2020/07/06,Mishrif,Residential,4,271,750,520000,"29.274534, 48.066560 ",1,0,0,0,1,0,0,20,37.5,2,0,3,0,0,0,0,0,0,0,0,0,0,,
416,2020/07/06,Sabah Al Ahmed Al Bahreya,Residential,A2,837,640,135000,"28.674261, 48.362144 ",1,0,0,0,0,0,1,F/14- B/19.08,38,7,0,0,0,0,0,0,0,0,0,0,0,0,,
417,2020/07/07,Sabah Al Ahmed Al Bahreya,Residential,A4,2686,450,180000,"28.641204, 48.355968 ",0,1,0,0,0,0,0,15.25,29.5,7,14,0,0,1,0,0,0,0,0,0,0,0,,
418,2020/07/12,RIQQA,Residential,8,27,406,248000,"29.151819, 48.110611 ",0,0,1,0,0,0,0,13.52+7.36,21.64,5,0,5,0,0,0,0,0,0,0,0,0,0,,
419,2020/07/12,Sabah Al Ahmed Al Bahreya,Residential,A4,1789,514,185000,"28.651536, 48.352398 ",0,1,0,0,0,0,0,16,33.01,9,18,0,0,1,0,0,0,0,0,0,0,0,,
420,2020/07/12,Sabah Al Ahmed Al Bahreya,Residential,A4,2755,573,195000,"28.636491, 48.354688 ",0,1,0,0,0,0,0,15.02,33.27,10,20,0,0,1,0,0,0,0,0,0,0,0,,
421,2020/07/14,Sabah Al Ahmed Al Bahreya,Residential,A4,1822,455,185000,"28.648857, 48.352690 ",0,1,0,0,0,0,0,15.1,30,8,20,0,0,1,0,0,0,0,0,0,0,0,,
422,2020/07/16,Sabah Al Ahmed Al Bahreya,Residential,A4,1824,455,185000,"28.648689, 48.352406 ",0,1,0,0,0,0,0,15.1,30,8,20,0,0,1,0,0,0,0,0,0,0,0,,
423,2020/07/16,Sabah Al Ahmed Al Bahreya,Residential,A4,1823,455,185000,"28.648764, 48.352582 ",0,1,0,0,0,0,0,15.1,30,8,20,0,0,1,0,0,0,0,0,0,0,0,,
424,2020/07/19,Sabah Al Ahmed Al Bahreya,Residential,A3,2983,647,220000,"28.661029, 48.328492 ",0,1,0,0,0,0,0,15.02,39.82,7,11,0,0,1,0,0,0,0,0,0,0,0,,
425,2020/07/22,Dasma,Residential,6,8,400,400000,"29.365802, 48.006892 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,1,2,0,0,0,0,0,5,,
426,2020/07/26,MANSouriya,Residential,2,41,1000,1200000,"29.355762, 47.992951 ",0,1,0,0,0,0,0,25,40,5,5,0,0,0,1,2,0,0,0,0,0,30,,
427,2020/07/29,Sabah Al Ahmed Al Bahreya,Residential,A4,1798,610,200000,"28.651610, 48.353994 ",0,1,0,0,0,0,0,20.83,33.08,7,18,0,0,1,0,0,0,0,0,0,0,0,,
428,2020/08/04,FAIHA,Residential,8,46 غ,400,440000,"29.334121, 47.979884 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
429,2020/08/04,RIQQA,Residential,8,88,400,246000,"29.154626, 48.109967 ",1,0,0,0,0,0,1,20,20,4,0,0,0,0,0,0,0,0,0,0,0,0,,
430,2020/08/11,Sabah Al Ahmed Al Bahreya,Residential,A4,2649,409,180000,"28.642671, 48.353537 ",0,1,0,0,0,0,0,15.12,27,7,15,0,0,1,0,0,0,0,0,0,0,0,,
431,2020/08/13,Sabah Al Ahmed Al Bahreya,Residential,A4,3042,450,185000,"28.633482, 48.347517 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
432,2020/08/14,Sabah Al Ahmed Al Bahreya,Residential,A4,3043,450,185000,"28.633471, 48.347662 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
433,2020/08/17,Sabah Al Ahmed Al Bahreya,Residential,A2,876,640,140000,"28.674309, 48.363644 ",1,0,0,0,1,0,0,17.3,37,7,17,0,0,0,0,0,0,0,0,0,0,0,,
434,2020/08/18,mangaf,Residential,1,635,375,265000,"29.109435, 48.134788 ",1,0,0,0,0,0,0,15,25,5,0,0,0,0,1,3,0,0,0,0,0,4,,
435,2020/08/18,Sabah Al Ahmed Al Bahreya,Residential,A1,469,1349,225000,"28.644675, 48.367732 ",0,1,0,0,0,0,0,16,84.31,7,17,0,0,1,0,0,0,0,0,0,0,0,,
436,2020/08/24,Sabah Al Ahmed Al Bahreya,Residential,A3,1682,619,230000,"28.660221, 48.345179 ",0,1,0,0,0,0,0,20.02,30.92,7,15,0,0,1,0,0,0,0,0,0,0,0,,
437,2020/08/30,Sabah Al Ahmed Al Bahreya,Residential,A3,1703,619,230000,"28.663204, 48.342294 ",0,1,0,0,0,0,0,20.02,30.92,7,15,0,0,1,0,0,0,0,0,0,0,0,,
438,2020/08/31,Sabah Al Ahmed Al Bahreya,Residential,A3,1682,619,230000,"28.660221, 48.345179 ",0,1,0,0,0,0,0,20.02,30.92,7,15,0,0,1,0,0,0,0,0,0,0,0,,
439,2020/08/31,Sabah Al Ahmed Al Bahreya,Residential,A4,3044,450,185000,"28.633457, 48.347839 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
440,2020/09/06,Sabah Al Ahmed Al Bahreya,Residential,A4,3037,450,185000,"28.663407, 48.336173 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
441,2020/09/13,Sabah Al Ahmed Al Bahreya,Residential,A3,3615,450,210000,"28.676845, 48.332822 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
442,2020/09/21,Sabah Al Ahmed Al Bahreya,Residential,A1,1174,661,135000,"28.658153, 48.364132 ",1,0,0,0,0,1,1,16,41.5,5,0,0,0,0,0,0,0,0,0,0,0,0,,
